rho_R_multiset_key,rule,class_count,geometry_false,geometry_true
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=0,1;Q3:0,0,1|0,1,1|1,0,0|1,1,0::R=0,0,1|0,1,1;Q3:0,0,1|1,0,0|1,1,0|1,1,1::R=0,0,1",constant_false,10,10,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q2:0,1|1,0::R=0,1;Q3:0,1,0|0,1,1|1,0,0|1,0,1::R=0,1,0|0,1,1",constant_false,2,2,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,0,1|0,1,1|1,1,0::R=0,0,0|0,0,1|0,1,1",constant_false,116,116,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,0,1|0,1,1|1,1,0::R=0,0,0|0,0,1|0,1,1;Q3:0,0,1|1,1,1::R=0,0,1",constant_false,4,4,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,0,1|1,0,1|1,1,0::R=0,0,0|0,0,1|1,0,1",constant_false,2,2,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,0|0,1,1|1,0,1::R=0,0,0|0,1,0|0,1,1",constant_false,515,515,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,0|0,1,1|1,0,1::R=0,0,0|0,1,0|0,1,1;Q3:0,1,0|1,0,0|1,0,1::R=0,1,0",constant_false,9,9,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,0|1,0,1::R=0,0,0|0,1,0;Q3:0,1,0|0,1,1|1,0,1::R=0,1,0|0,1,1",constant_false,13,13,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|0,1,0|1,0,1::R=0,0,0|0,1,0;Q3:0,1,0|1,0,0|1,0,1|1,1,1::R=0,1,0",constant_false,18,18,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|1,0,1::R=0,0,0;Q3:0,1,0|0,1,1|1,0,1::R=0,1,0|0,1,1",constant_false,12,12,0
"Q2:0,0|1,1::R=0,0;Q2:0,1|1,0::R=0,1;Q3:0,0,0|1,0,1::R=0,0,0;Q3:0,1,0|1,0,0|1,0,1|1,1,1::R=0,1,0",constant_false,32,32,0
