exception_key,rho_R_multiset_key,classes,geometry_false,geometry_true
M1,"Q2:0,1|1,0::R=0,1;Q3:0,0,1|1,0,0::R=0,0,1",104,99,5
M2,"Q2:0,1|1,0::R=0,1;Q3:0,0,1|1,0,0|1,1,0::R=0,0,1",88,83,5
M3,"Q2:0,1|1,0::R=1,0;Q3:0,0,1|1,0,0::R=1,0,0",57,42,15
M4,"Q2:0,1|1,0::R=1,0;Q3:0,0,1|1,0,0|1,1,0::R=1,0,0|1,1,0",44,29,15
total,,293,253,40
